roadmap_role,dev_type,node_id,topic_label,parent_topic,order_index,node_type,maps_to_esco_uri,maps_to_esco_label,source
frontend,frontend,VlNNwIEDWqQXtqkHWJYzC,Internet,,8,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,yCnn-NfSxIybUQ2iTuUGq,How does the internet work?,Internet,9,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,R12sArWVpbIs_PHxBqVaR,What is HTTP?,Internet,10,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,ZhSuu2VArnzPDp6dPQQSC,What is Domain Name?,Internet,11,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,aqMaEY8gkKMikiqleV5EP,What is hosting?,Internet,12,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,hkxw9jPGYphmjhTjw8766,DNS and how it works?,Internet,13,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,P82WFaTPgQEPNp5IIuZ1Y,Browsers and how they work?,Internet,14,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,yWG2VUkaF5IJVVut6AiSy,HTML,,15,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,PCirR2QiFYO89Fm-Ev3o1,Learn the basics,,16,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,z8-556o-PaHXjlytrawaF,Writing Semantic HTML,,17,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,V5zucKEHnIPPjwHqsMPHF,Forms and Validations,,18,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,iJIqi7ngpGHWAqtgdjgxB,Accessibility,,19,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,mH_qff8R7R6eLQ1tPHLgG,SEO Basics,HTML,20,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,ZhJhf1M2OphYbEmduFq-9,CSS,,21,topic,http://data.europa.eu/esco/skill/e5d1f825-60ed-4bdd-872a-e748c387f777,CSS,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,YFjzPKWDwzrgk2HUX952L,Learn the basics,CSS,22,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,dXeYVMXv-3MRQ1ovOUuJW,Making Layouts,CSS,23,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,TKtWmArHn7elXRJdG6lDQ,Responsive Design,CSS,24,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,ODcfFEorkfJNupoQygM53,JavaScript,,25,topic,http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7,JavaScript,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,A4brX0efjZ0FFPTB4r6U0,Fetch API / Ajax (XHR),JavaScript,26,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,0MAogsAID9R04R5TTO2Qa,Learn DOM Manipulation,JavaScript,27,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,wQSjQqwKHfn5RGPk34BWI,Learn the Basics,JavaScript,28,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,MXnFhZlNB1zTsBFDyni9H,VCS Hosting,,29,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,NIY7c4TQEEHx0hATu-k5C,Version Control Systems,,30,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,R_I4SGYqLk5zze5I1zS_E,Git,Version Control Systems,31,subtopic,http://data.europa.eu/esco/skill/9d2e926f-53d9-41f5-98f3-19dfaa687f3f,tools for software configuration management,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,IqvS1V-98cxko3e9sBQgP,Package Managers,,32,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,qmTVMJDsEhNIkiwE_UTYu,GitHub,,33,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,zIoSJMX3cuzCgDYHjgbEh,GitLab,,34,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,DILBiQp7WWgSZ5hhtDW6A,Bitbucket,VCS Hosting,35,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,yrq3nOwFREzl-9EKnpU-e,yarn,Package Managers,36,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,SLxA5qJFp_28TRzr1BjxZ,pnpm,Package Managers,37,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,ib_FHinhrw8VuSet-xMF7,npm,Package Managers,38,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,eXezX7CVNyC1RuyU_I4yP,Pick a Framework,,39,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,-bHFIiXnoUQSov64WI9yo,Angular,Pick a Framework,40,subtopic,http://data.europa.eu/esco/skill/1ffac4ac-fda7-407d-8ed1-ca8f4a8dc146,Angular,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,ERAdwL1G9M1bnx-fOm5ZA,Vue.js,Pick a Framework,41,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,tG5v3O4lNIFc2uCnacPak,React,Pick a Framework,42,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,ZR-qZ2Lcbu3FtqaMd3wM4,Svelte,Pick a Framework,43,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,DxOSKnqAjZOPP-dq_U7oP,Solid JS,Pick a Framework,44,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,N5DCb6bDfgUnSdHPLYY4g,Qwik,Pick a Framework,45,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,XDTD8el6OwuQ55wC-X4iV,Writing CSS,,46,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,eghnfG4p7i-EDWfp3CQXC,Tailwind,Writing CSS,47,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,nPg_YWpMJtlhU2t2UD_6B,CSS Architecture,,49,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,UTW1pP59dUehuf0zeHXqL,CSS Preprocessors,,50,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,dRDmS072xeNLX7p_X565w,BEM,,51,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,kukEE5rMSPa4NeNjx21kt,Sass,,52,subtopic,http://data.europa.eu/esco/skill/1110c92f-3059-445a-9436-0f4200d365f5,Sass,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,9WlPENh9g1xOv-zA64Tfg,PostCSS,,53,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,i9z0stM4uKu27Cz6NIgNX,Build Tools,,54,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,9VcGfDBBD8YcKatj4VcH1,Linters and Formatters,,55,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,hkSc_1x09m7-7BO7WzlDT,Module Bundlers,,56,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,NS-hwaWa5ebSmNNRoxFDp,Parcel,Module Bundlers,57,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,sCjErk7rfWAUvhl8Kfm3n,Rollup,Module Bundlers,58,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,twufEtHgxcRUWAUQ9bXus,Webpack,Module Bundlers,59,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,4W7UXfdKIUsm1bUrjdTVT,esbuild,Module Bundlers,60,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,0Awx3zEI5_gYEIrD7IVX6,Vite,Module Bundlers,61,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,zbkpu_gvQ4mgCiZKzS1xv,Prettier,,62,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,NFjsI712_qP0IOmjuqXar,ESLint,,63,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,igg4_hb3XE3vuvY8ufV-4,Testing,,64,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,hVQ89f6G0LXEgHIOKHDYq,Vitest,,65,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,g5itUjgRXd9vs9ujHezFl,Jest,Testing,66,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,jramLk8FGuaEH4YpHIyZT,Playwright,Testing,67,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,DaynCz5RR26gjT6N6gTDL,Cypress,,68,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,U5mD5FmVx7VWeKxDpQxB5,Authentication Strategies,,69,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,RDWbG3Iui6IPgp0shvXtg,Web Security Basics,,70,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,AfH2zCbqzw0Nisg1yyISS,CORS,,71,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,uum7vOhOUR38vLuGZy8Oa,HTTPS,,72,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,rmcm0CZbtNVC9LZ14-H6h,Content Security Policy,,73,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,JanR7I_lNnUCXhCMGLdn-,OWASP Security Risks,Web Security Basics,74,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,ruoFa3M4bUE3Dg6GXSiUI,Web Components,,75,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,hwPOGT0-duy3KfI8QaEwF,Type Checkers,,76,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,VxiQPgcYDFAT6WgSRWpIA,Custom Elements,,77,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,Hk8AVonOd693_y1sykPqd,HTML Templates,Web Components,78,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,-SpsNeOZBkQfDA-rwzgPg,Shadow DOM,,79,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,0asdhvwBH3gn-ercktV7A,TypeScript,Type Checkers,80,subtopic,http://data.europa.eu/esco/skill/867137fb-ff1b-4ca3-99f3-cb6969aa2c68,TypeScript,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,Cxspmb14_0i1tfw-ZLxEu,SSR,,81,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,OL8I6nOZ8hGGWmtxg_Mv8,Svelte,SSR,82,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,3TE_iYvbklXK0be-5f2M7,Vue.js,SSR,83,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,k6rp6Ua9qUEW_DA_fOg5u,Angular,SSR,84,subtopic,http://data.europa.eu/esco/skill/1ffac4ac-fda7-407d-8ed1-ca8f4a8dc146,Angular,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,SGDf_rbfmFSHlxI-Czzlz,React,SSR,85,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,KJRkrFZIihCUBrOf579EU,react-router,SSR,86,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,zNFYAJaSq0YZXL5Rpx1NX,Next.js,SSR,87,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,BBsXxkbbEG-gnbM1xXKrj,Nuxt.js,SSR,88,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,P4st_telfCwKLSAU2WsQP,Svelte Kit,SSR,89,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,L7AllJfKvClaam3y-u6DP,GraphQL,,90,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,5eUbDdOTOfaOhUlZAmmXW,Apollo,,91,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,0moPO23ol33WsjVXSpTGf,Relay Modern,GraphQL,92,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,n0q32YhWEIAUwbGXexoqV,Static Site Generators,,93,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,CMrss8E2W0eA6DVEqtPjT,Vuepress,,94,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,XWJxV42Dpu2D3xDK10Pn3,Nuxt.js,Static Site Generators,95,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,iUxXq7beg55y76dkwhM13,Astro,,96,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,io0RHJWIcVxDhcYkV9d38,Eleventy,Static Site Generators,97,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,V70884VcuXkfrfHyLGtUg,Next.js,,98,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,PoM77O2OtxPELxfrW1wtl,PWAs,,99,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,VOGKiG2EZVfCBAaa7Df0W,Mobile Apps,,100,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,dsTegXTyupjS8iU6I7Xiv,React Native,,101,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,dIQXjFEUAJAGxxfAYceHU,Flutter,,102,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,xmRv6-L45m5MDpHmdHFCL,Ionic,Mobile Apps,103,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,KMA7NkxFbPoUDtFnGBFnj,Desktop Apps,,104,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,mQHpSyMR4Rra4mqAslgiS,Electron,Desktop Apps,108,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,GJctl0tVXe4B70s35RkLT,Tauri,Desktop Apps,109,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,2MRvAK9G9RGM_auWytcKh,Flutter,Desktop Apps,110,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,-DsETM9xLgHyGZthptj1Y,PRPL Pattern,,111,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,xD5WfEP7Ez0oi3890UgmH,RAIL Model,,112,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,X0Y3-IpPiFUCsNDK4RFxw,Performance Metrics,,113,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,RIhHMHLsLLPhNl05Q9aBf,Using Lighthouse,,114,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,3_sJHKTogkDoCjR518-OL,Using DevTools,PWAs,115,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,raoa-75p_DyBAycvy3yVv,Storage,PWAs,117,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,NDJR8UCoa31v45TBFP7we,Web Sockets,,118,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,doPe92aUpo-8KWhi45lWK,Server Sent Events,,119,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,TldWoXiqKxM4X3JONKAR7,Service Workers,,120,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,YbGGYoKJEx29PlvopUBiM,Location,,121,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,6AlcArOiJMhHXguAosDzn,Notifications,,122,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,Fd0hQh1DleM0gMzCpGou4,Device Orientation,,123,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,MAM1nuVk-h4AvTUk4nvmj,Payments,,124,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,opu2bAsmdWHqWqtsCscLC,Credentials,,125,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,h26uS3muFCabe6ekElZcI,SWC,,127,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
frontend,frontend,wA2fSYsbBYU02VJXAvUz8,Astro,SSR,132,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
backend,backend,gKTSe9yQFVbPVlLzWB0hC,Search Engines,,8,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
backend,backend,9Fpoor-Os_9lvrwu5Zjh-,Design and Development Principles,,10,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
backend,backend,EwvLPSI6AlZ4TnNIJTZA4,Learn about APIs,,12,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
backend,backend,SiYUdtYMDImRPmV2_XPkH,Internet,,15,topic,,,roadmap.sh:nilbuild/developer-roadmap@master
backend,backend,CWwh2abwqx4hAxpAGvhIx,Rust,Pick a Language,16,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
backend,backend,l9Wrq_Ad9-Ju4NIB0m5Ha,PHP,,17,subtopic,http://data.europa.eu/esco/skill/4350c38d-0fe9-4ca7-bab9-40ed7f72b04f,PHP,roadmap.sh:nilbuild/developer-roadmap@master
backend,backend,BdXbcz4-ar3XOX0wIKzBp,Go,,18,subtopic,,,roadmap.sh:nilbuild/developer-roadmap@master
